Year,Survey,Title,dataSet,script
2016,Institutional Characteristics,Directory information (preliminary release),HD2016_Data_Stata.zip,HD2016_Stata.zip
2016,Institutional Characteristics,"Educational offerings, organization, services and athletic associations (preliminary release)",IC2016_Data_Stata.zip,IC2016_Stata.zip
2016,Institutional Characteristics,Student charges for academic year programs (preliminary release),IC2016_AY_Data_Stata.zip,IC2016_AY_Stata.zip
2016,Institutional Characteristics,Student charges by program (vocational programs) (preliminary release),IC2016_PY_Data_Stata.zip,IC2016_PY_Stata.zip
2016,12-Month Enrollment,12-month unduplicated headcount: 2015-16(preliminary release),EFFY2016_Data_Stata.zip,EFFY2016_Stata.zip
2016,12-Month Enrollment,12-month instructional activity: 2015-16(preliminary release),EFIA2016_Data_Stata.zip,EFIA2016_Stata.zip
2016,Admissions and Test Scores,"Admission considerations, applications, admissions, enrollees and test scores, fall 2016(preliminary release)",ADM2016_Data_Stata.zip,ADM2016_Stata.zip
2016,Completions,"Awards/degrees conferred by program (6-digit CIP code), award level, race/ethnicity, and gender: July 1, 2015 to June 30, 2016 (preliminary release)",C2016_A_Data_Stata.zip,C2016_A_Stata.zip
2016,Completions,"Number of students receiving awards/degrees, by race/ethnicity and gender: July 1, 2015 to June 30, 2016(preliminary release)",C2016_B_Data_Stata.zip,C2016_B_Stata.zip
2016,Completions,"Number of students receiving awards/degrees, by award level and by gender, race/ethnicity and age categories: July 1, 2015 to June 30, 2016(preliminary release)",C2016_C_Data_Stata.zip,C2016_C_Stata.zip
2016,Completions,"Number of programs offered and number of programs offered via distance education, by award level: July 1, 2015 to June 30, 2016(preliminary release)",C2016DEP_Data_Stata.zip,C2016DEP_Stata.zip
2016,Student Financial Aid and Net Price,Student financial aid and net price: 2015-16(preliminary release),SFA1516_Data_Stata.zip,SFA1516_Stata.zip
2016,Student Financial Aid and Net Price,"Military Servicemembers and Veteran's Benefits, 2015-16 (preliminary release)",SFAV1516_Data_Stata.zip,SFAV1516_Stata.zip
2016,Graduation Rates,"Graduation rate data, 150% of normal time to complete - cohort year 2010 (4-year) and cohort year 2013 (2-year) institutions(preliminary release)",GR2016_Data_Stata.zip,GR2016_Stata.zip
2016,Graduation Rates,"Graduation rate data, 150% of normal time to complete - cohort year 2013 (less-than-2-year institutions) (preliminary release)",GR2016_L2_Data_Stata.zip,GR2016_L2_Stata.zip
2016,Graduation Rates,"Graduation rate data, 200% of normal time to complete - cohort year 2008 (4-year) and cohort year 2012 (less-than-4-year)  institutions(preliminary release)",GR200_16_Data_Stata.zip,GR200_16_Stata.zip
2016,Graduation Rates,"Graduation rate data for Pell Grant and Subsidized Stafford Loan recipients , 150% of normal time to complete  - cohort year 2010 (4-year) and cohort year 2013 (2-year)  institutions(preliminary release)",GR2016_PELL_SSL_Data_Stata.zip,GR2016_PELL_SSL_Stata.zip
2016,Outcome Measures,Award and enrollment data at six and eight years for four entering undergraduate cohorts from 2008 -  degree granting institutions (preliminary release),OM2016_Data_Stata.zip,OM2016_Stata.zip
2015,Institutional Characteristics,Directory information,HD2015_Data_Stata.zip,HD2015_Stata.zip
